"Time","Contracts","Funding Interval","Funding Rate"
"2024-05-29 09:00:00","BTCUSD CM Perpetual","8h","0.025219%"
"2024-05-29 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-28 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-28 09:00:00","BTCUSD CM Perpetual","8h","0.021350%"
"2024-05-28 01:00:00","BTCUSD CM Perpetual","8h","0.024474%"
"2024-05-27 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-27 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-27 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-26 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-26 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-26 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-25 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-25 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-25 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-24 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-24 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-24 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-23 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-23 09:00:00","BTCUSD CM Perpetual","8h","0.015112%"
"2024-05-23 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-22 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-22 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-22 01:00:00","BTCUSD CM Perpetual","8h","0.018815%"
"2024-05-21 17:00:00","BTCUSD CM Perpetual","8h","0.016546%"
"2024-05-21 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-21 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-20 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-20 09:00:00","BTCUSD CM Perpetual","8h","0.000659%"
"2024-05-20 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-19 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-19 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-19 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-18 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-18 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-18 01:00:00","BTCUSD CM Perpetual","8h","0.009380%"
"2024-05-17 17:00:00","BTCUSD CM Perpetual","8h","0.000585%"
"2024-05-17 09:00:00","BTCUSD CM Perpetual","8h","0.005177%"
"2024-05-17 01:00:00","BTCUSD CM Perpetual","8h","0.000737%"
