"Time","Contracts","Funding Interval","Funding Rate"
"2024-06-06 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-06 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-06 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-05 17:00:00","BTCUSD CM Perpetual","8h","0.012397%"
"2024-06-05 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-05 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-04 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-04 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-04 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-03 17:00:00","BTCUSD CM Perpetual","8h","0.010409%"
"2024-06-03 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-03 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-02 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-02 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-02 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-01 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-01 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-06-01 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-31 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-31 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-31 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-30 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-30 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-30 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
